,word,count,w_s_sum
804,骷髅头,3,19
805,幸运,3,50
806,左,3,22135
807,恋蝶,3,50
808,多彩,3,44
809,伞强,3,52
810,眼睛,3,22
811,布晴雨,3,1693
812,大童,3,411
813,|,3,8
814,草莓,2,9
815,FN,2,6
816,21,2,3
817,黑涤彩胶,2,2
818,33230E,2,10
819,upf,2,0
820,固定,2,539
821,国旗,2,2
822,制印,2,76
823,风雨,2,8
824,嫁妆,2,46
825,携带,2,111
826,男式,2,1098
827,布一,2,893
828,开收防,2,1449
829,黑白,2,30
830,卡格,2,4
831,强迪,2,15
832,木杆,2,33
833,瑞承,2,51
834,U,2,10
835,手推,2,22
836,隐格,2,23
837,字母,2,167
838,人用,2,13
839,驾航,2,94
840,伞送,2,72
841,魔御,2,41
842,04,2,24
843,黑丝靓,2,4
844,三节,2,4
845,客户,2,44
846,人气,2,824
847,固定架,2,1009
848,雪月风花,2,250
849,中性,2,1
850,礼仪,2,11
851,扁平,2,373
852,居家,2,7885
853,内用,2,757
854,耳朵,2,64
855,轻细,2,171
856,缤纷,2,1
857,若瑶,2,2
858,三双,2,7390
859,东穗,2,27
860,奇异果,2,6
861,钢架,2,19
862,伞座,2,52
863,耐磨,2,193
864,乐牛,2,692
865,欧美,2,20
866,saiveina,2,3
867,啦,2,19
868,铝合金,2,7
869,沛欣小,2,12
870,遮伞,2,387
871,晒防,2,3
872,腰带,2,234
873,LG,2,2
874,牛仔,2,37
875,仙人掌,2,119
876,短款,2,1179
877,夹,2,192
878,蓝森,2,45
879,抗风大号,2,478
880,小波点,2,1602
881,国色天香,2,2
882,懒之家,2,2
883,焦蕉,2,99
884,325E,2,9
885,洛丽塔,2,134
886,伞纯,2,38
887,装,2,142
888,帐,2,52
889,来图,2,13
890,雨棚,2,37
891,偏心,2,75
892,起布,2,3
893,冬季,2,44
894,伞带,2,12
895,01,2,121
896,锁,2,369
897,迪卡侬,2,721
898,钱包,2,1179
899,防抗,2,31909
900,KITTY,2,282
901,吃,2,6
902,手持,2,9
903,子,2,241
904,彩印,2,7
905,官,2,627
906,正版,2,38
907,男十骨,2,572
908,海伦,2,1
909,贴,2,818
910,支架,2,539
911,塑胶,2,4
912,型,2,283
913,布小,2,1925
914,小黄,2,2422
915,物语,2,10
916,克,2,23
917,凯元,2,8522
918,系小,2,139
919,垃圾桶,2,757
920,透气,2,42
921,伞超,2,12
922,2013,2,0
923,人防,2,80
924,鑫航,2,37
925,伞钢,2,1
926,蒲公英,2,7
927,lLOGO,2,987
928,Logo,2,2694
929,缤彩,2,2
930,游,2,599
931,女性,2,36
932,棕榈,2,1312
933,风晴雨,2,31857
934,伞罩,2,873
935,短伞,2,26
936,伞防直,2,2
937,花海,2,21
938,男款,2,29
939,晴雨防,2,369
940,格漫尔,2,6
941,高档,2,3
942,青蛙,2,8
943,选,2,14
944,亭,2,133
945,裤带,2,234
946,毛巾,2,3013
947,心语,2,8
948,渐变色,2,852
949,银行,2,256
950,伞双,2,294
951,枫叶,2,141
952,表情,2,16
953,鞋柜,2,1059
954,3331e,2,14
955,PICK,2,10
956,时光,2,6
957,树,2,230
958,特色,2,307
959,LED,2,28
960,泼水,2,33
961,煜,2,133
962,可定,2,57
963,裙边,2,49
964,饭,2,4722
965,墙上,2,3589
966,放置,2,3574
967,lemonkid,2,51
968,婴儿,2,72
969,猴,2,24
970,收伞,2,14339
971,遇光,2,41
972,33230e,2,41
973,官网防,2,2520
974,小孩子,2,21
975,成,2,963
976,33400e,2,6
977,艺舟,2,0
978,桐油,2,16
979,Angelrain,2,5
980,锐乐,2,21
981,婚伞,2,169
982,国防,2,314
983,爱,2,5
984,暴风雨,2,58
985,14,2,15
986,皮,2,11
987,粉,2,356
988,外,2,44
989,单层,2,341
990,hugmii,2,134
991,迷,2,17
992,推车,2,40
993,磨砂,2,34
994,动漫卡通,2,75
995,拼色,2,15
996,皮带,2,234
997,）,2,36
998,瑞拉,2,54
999,POE,2,10
1000,云,2,1105
1001,叶,2,1312
1002,熊猫,2,8
1003,美人鱼,2,7
1004,心防,2,58
1005,头带,2,369
1006,伞十骨,2,39
1007,梦,2,18
1008,聚酯,2,23
1009,风情,2,48
1010,杭州,2,6
1011,大黄,2,141
1012,收开,2,27
1013,轻小晴雨,2,3
1014,多款,2,25
1015,轻晴雨,2,3
1016,飞碟,2,2864
1017,坚固,2,11
1018,置物架,2,3129
1019,套装,2,338
1020,DIY,2,142
1021,棒,2,2270
1022,饭罩,2,570
1023,阳光,2,46
1024,鸭子,2,23
1025,牡丹,2,9
1026,台风,2,1370
1027,魔术,2,396
1028,反,2,204
1029,好旺,2,16
1030,盈佰,2,44
1031,3035E,2,4
1032,闪,2,3
1033,天之水防,2,17
1034,安波,2,54
1035,热销,2,10
1036,男女生,2,56
1037,easily24,2,325
1038,加,2,12
1039,反折,2,172
1040,武士,2,2004
1041,刺猬,2,1851
1042,层,2,8
1043,空间,2,268
1044,配件,2,45
1045,亲子,2,141
